transaction_id,customer_id,transaction_date,amount,currency,merchant_name,merchant_category,card_last_four,location_country,location_city,transaction_type
TXN001,CUST10001,2024-11-01 08:23:15,245.50,USD,Amazon.com,E-commerce,4532,US,Seattle,PURCHASE
TXN002,CUST10002,2024-11-01 09:15:42,1250.00,USD,Best Buy,Electronics,8765,US,New York,PURCHASE
TXN003,CUST10001,2024-11-01 10:05:33,45.99,USD,Starbucks,Food & Beverage,4532,US,Seattle,PURCHASE
TXN004,CUST10003,2024-11-01 11:30:21,3500.00,USD,Apple Store,Electronics,2341,US,San Francisco,PURCHASE
TXN005,CUST10004,2024-11-01 12:45:10,89.99,USD,Walmart,Retail,6789,US,Los Angeles,PURCHASE
TXN006,CUST10002,2024-11-01 14:20:05,2100.00,USD,Delta Airlines,Travel,8765,US,Atlanta,PURCHASE
TXN007,CUST10005,2024-11-01 15:35:42,125.00,USD,Shell Gas Station,Gas Station,1234,US,Houston,PURCHASE
TXN008,CUST10001,2024-11-01 16:50:18,550.00,USD,Whole Foods,Grocery,4532,US,Seattle,PURCHASE
TXN009,CUST10006,2024-11-01 18:10:33,75.50,USD,McDonald's,Fast Food,9876,US,Chicago,PURCHASE
TXN010,CUST10003,2024-11-01 19:25:47,1800.00,USD,Marriott Hotel,Hotel,2341,US,Las Vegas,PURCHASE
TXN011,CUST10007,2024-11-02 07:15:22,320.00,USD,Target,Retail,5432,US,Minneapolis,PURCHASE
TXN012,CUST10004,2024-11-02 08:40:15,95.00,USD,Costco,Wholesale,6789,US,San Diego,PURCHASE
TXN013,CUST10008,2024-11-02 10:05:30,4500.00,USD,Tesla,Automotive,3456,US,Palo Alto,PURCHASE
TXN014,CUST10005,2024-11-02 11:30:45,67.89,USD,CVS Pharmacy,Pharmacy,1234,US,Boston,PURCHASE
TXN015,CUST10009,2024-11-02 13:20:10,1500.00,USD,Home Depot,Home Improvement,7890,US,Phoenix,PURCHASE
TXN016,CUST10002,2024-11-02 14:55:33,850.00,USD,Nordstrom,Fashion,8765,US,New York,PURCHASE
TXN017,CUST10010,2024-11-02 16:10:28,275.00,USD,Uber,Transportation,4321,US,San Francisco,PURCHASE
TXN018,CUST10006,2024-11-02 17:45:12,125.50,USD,Panera Bread,Food & Beverage,9876,US,Chicago,PURCHASE
TXN019,CUST10001,2024-11-02 19:30:40,2200.00,USD,United Airlines,Travel,4532,US,Denver,PURCHASE
TXN020,CUST10011,2024-11-02 20:15:55,189.99,USD,Nike Store,Sportswear,6543,US,Portland,PURCHASE
TXN021,CUST10003,2024-11-03 08:05:20,450.00,USD,Chewy.com,Pet Supplies,2341,US,Tampa,PURCHASE
TXN022,CUST10012,2024-11-03 09:25:35,3200.00,USD,Louis Vuitton,Luxury,8901,US,Miami,PURCHASE
TXN023,CUST10007,2024-11-03 10:50:45,78.50,USD,Chipotle,Fast Food,5432,US,Austin,PURCHASE
TXN024,CUST10004,2024-11-03 12:15:18,1650.00,USD,Hilton Hotel,Hotel,6789,US,Orlando,PURCHASE
TXN025,CUST10013,2024-11-03 13:40:22,95.00,USD,Petco,Pet Supplies,2109,US,Charlotte,PURCHASE
TXN026,CUST10008,2024-11-03 15:05:10,5200.00,USD,Tiffany & Co,Jewelry,3456,US,New York,PURCHASE
TXN027,CUST10014,2024-11-03 16:30:55,340.00,USD,Sephora,Beauty,7654,US,Dallas,PURCHASE
TXN028,CUST10009,2024-11-03 17:55:30,1100.00,USD,REI,Outdoor,7890,US,Seattle,PURCHASE
TXN029,CUST10005,2024-11-03 19:20:42,67.99,USD,Subway,Fast Food,1234,US,Philadelphia,PURCHASE
TXN030,CUST10015,2024-11-03 20:45:15,2800.00,USD,Samsung Store,Electronics,4567,US,San Jose,PURCHASE
